iter	Passed	Remaining
0	148	148003
1	150	74966
2	152	50789
3	154	38514
4	157	31273
5	159	26494
6	162	23036
7	164	20382
8	167	18422
9	171	16981
10	173	15626
11	176	14534
12	178	13559
13	180	12723
14	182	12013
15	186	11460
16	188	10911
17	190	10393
18	193	9969
19	195	9556
20	196	9173
21	199	8855
22	202	8600
23	205	8361
24	207	8090
25	209	7855
26	211	7618
27	214	7441
28	216	7265
29	219	7085
30	221	6911
31	223	6763
32	225	6614
33	230	6537
34	231	6393
35	233	6257
36	235	6136
37	239	6051
38	241	5944
39	244	5872
40	246	5771
41	248	5671
42	251	5604
43	254	5518
44	256	5437
45	258	5366
46	260	5288
47	263	5217
48	265	5148
49	266	5071
50	270	5027
51	272	4959
52	274	4897
53	276	4837
54	277	4775
55	279	4717
56	281	4665
57	284	4620
58	286	4568
59	288	4513
60	290	4467
61	292	4417
62	293	4370
63	296	4331
64	298	4298
65	301	4265
66	303	4226
67	305	4190
68	307	4150
69	310	4124
70	313	4098
71	315	4061
72	317	4026
73	319	3993
74	321	3966
75	324	3950
76	327	3924
77	329	3894
78	331	3864
79	335	3856
80	340	3866
81	342	3839
82	343	3799
83	345	3772
84	348	3748
85	350	3722
86	353	3710
87	355	3689
88	357	3663
89	360	3640
90	362	3625
91	364	3601
92	367	3586
93	370	3571
94	372	3550
95	374	3527
96	376	3509
97	379	3488
98	381	3472
99	384	3460
100	387	3445
101	389	3430
102	393	3428
103	396	3418
104	400	3416
105	402	3398
106	405	3380
107	408	3373
108	413	3377
109	415	3358
110	417	3340
111	419	3322
112	422	3319
113	426	3317
114	429	3304
115	431	3288
116	433	3268
117	441	3302
118	444	3293
119	446	3276
120	451	3276
121	456	3288
122	459	3273
123	461	3259
124	466	3263
125	469	3258
126	471	3241
127	474	3234
128	477	3226
129	479	3211
130	482	3198
131	484	3183
132	485	3166
133	488	3157
134	491	3150
135	494	3141
136	496	3128
137	499	3118
138	502	3109
139	506	3109
140	508	3099
141	511	3089
142	514	3082
143	516	3071
144	519	3063
145	521	3050
146	526	3052
147	528	3042
148	532	3043
149	536	3037
150	540	3037
151	542	3027
152	571	3162
153	575	3163
154	583	3180
155	585	3168
156	588	3162
157	593	3163
158	598	3164
159	601	3156
160	602	3138
161	603	3124
162	605	3111
163	612	3121
164	614	3107
165	616	3096
166	618	3085
167	620	3073
168	623	3067
169	626	3058
170	628	3048
171	631	3039
172	633	3026
173	636	3021
174	639	3016
175	643	3010
176	645	2999
177	646	2986
178	650	2981
179	653	2976
180	655	2967
181	657	2956
182	659	2946
183	661	2934
184	669	2951
185	671	2940
186	674	2932
187	680	2939
188	683	2933
189	685	2923
190	687	2913
191	690	2903
192	697	2914
193	699	2907
194	702	2898
195	704	2887
